shock_variable,horizon_q,unemployment_rate,headline_cpi_yoy,core_cpi_yoy,real_gdp_growth_yoy,hpi_growth_yoy,housing_starts_yoy,mortgage30_rate,ust10_rate,high_yield_spread,fed_funds_rate,consumer_delinquency_rate,working_age_pop_growth_yoy
mortgage30_rate,1,0.448505,0.458635,-0.277993,-1.840741,-1.921814,-10.325464,0.773095,0.019776,0.924668,-0.202063,-0.018913,0.078606
mortgage30_rate,2,0.506623,-0.020434,-0.437977,-1.435271,-2.570171,-7.271521,0.655271,0.028793,1.879357,-0.334416,-0.011636,-0.006621
mortgage30_rate,3,0.417234,-0.629633,-0.537763,-1.347711,-2.383241,-8.675912,0.363347,-0.065955,2.115281,-0.412918,0.129518,-0.017894
mortgage30_rate,4,0.443933,-1.103450,-0.580783,-1.359284,-1.930772,-8.525860,0.144538,-0.071703,1.719301,-0.472568,0.229750,-0.033379
mortgage30_rate,5,0.406690,-1.250558,-0.590234,-1.180778,-1.386829,-6.654250,-0.008823,-0.044173,1.076240,-0.512080,0.286646,-0.046486
mortgage30_rate,6,0.361098,-1.139725,-0.582041,-0.830160,-0.921819,-3.601961,-0.120154,-0.030044,0.510434,-0.538331,0.298426,-0.056088
mortgage30_rate,7,0.342488,-0.920705,-0.567485,-0.456219,-0.560292,-0.581999,-0.202637,-0.047021,0.156899,-0.556634,0.270593,-0.060776
mortgage30_rate,8,0.357104,-0.695190,-0.546031,-0.156429,-0.271537,1.552933,-0.263970,-0.085945,-0.000986,-0.569817,0.216387,-0.058304
mortgage30_rate,9,0.377855,-0.500967,-0.510258,0.045719,-0.015276,2.639101,-0.306039,-0.127062,-0.048761,-0.575566,0.149876,-0.049106
mortgage30_rate,10,0.376578,-0.336054,-0.454752,0.163653,0.230836,2.894197,-0.328849,-0.154945,-0.064219,-0.569895,0.083195,-0.035249
mortgage30_rate,11,0.341043,-0.188534,-0.379873,0.222745,0.463962,2.644052,-0.332998,-0.164280,-0.085712,-0.549579,0.024637,-0.019906
mortgage30_rate,12,0.275561,-0.052748,-0.291421,0.244656,0.664341,2.147408,-0.320824,-0.158076,-0.117195,-0.513488,-0.021382,-0.005867
mortgage30_rate,13,0.193861,0.068408,-0.197975,0.243023,0.808607,1.555859,-0.295776,-0.142579,-0.147311,-0.462759,-0.053592,0.005243
mortgage30_rate,14,0.110875,0.168298,-0.108051,0.225388,0.880534,0.942566,-0.261503,-0.123299,-0.164994,-0.400271,-0.072782,0.012931
mortgage30_rate,15,0.037744,0.241676,-0.028275,0.196429,0.875638,0.343967,-0.221350,-0.103508,-0.165792,-0.329932,-0.080800,0.017378
mortgage30_rate,16,-0.019500,0.287050,0.037257,0.159939,0.800490,-0.213796,-0.178283,-0.084576,-0.151200,-0.256072,-0.079845,0.019002
mortgage30_rate,17,-0.058984,0.306431,0.086790,0.119353,0.669240,-0.706836,-0.134952,-0.066928,-0.125499,-0.182989,-0.072084,0.018235
mortgage30_rate,18,-0.081393,0.303911,0.120358,0.077590,0.499643,-1.115230,-0.093713,-0.050800,-0.093136,-0.114611,-0.059493,0.015487
mortgage30_rate,19,-0.088674,0.284293,0.139199,0.036907,0.309844,-1.426231,-0.056553,-0.036535,-0.057623,-0.054216,-0.043824,0.011187
mortgage30_rate,20,-0.083300,0.252277,0.145272,-0.001035,0.116281,-1.635272,-0.024974,-0.024547,-0.021532,-0.004228,-0.026609,0.005809
hpi_growth_yoy,1,0.422235,-0.841726,-0.290276,-0.966326,-6.795787,-1.847741,0.144456,0.009330,0.666205,-0.151422,-0.149844,0.087227
hpi_growth_yoy,2,0.606336,-1.483486,-0.560509,-0.780918,-7.216811,-1.354383,-0.037959,-0.233627,1.411050,-0.310416,-0.116027,0.037614
hpi_growth_yoy,3,0.694055,-1.876368,-0.762567,-0.730961,-7.070439,0.523153,-0.334967,-0.479047,1.631862,-0.540227,-0.055328,-0.075688
hpi_growth_yoy,4,0.859895,-2.042407,-0.908052,-0.903173,-6.532149,2.684753,-0.591492,-0.647083,1.539308,-0.873224,-0.035072,-0.183331
hpi_growth_yoy,5,1.043943,-2.038317,-1.000780,-0.996891,-5.735595,5.027169,-0.813842,-0.790378,1.402439,-1.257014,-0.055717,-0.267139
hpi_growth_yoy,6,1.205610,-1.946198,-1.050067,-0.967245,-4.800777,7.264667,-1.021050,-0.935541,1.295389,-1.635465,-0.108813,-0.320658
hpi_growth_yoy,7,1.328852,-1.813273,-1.061150,-0.860762,-3.797548,9.141549,-1.206122,-1.070182,1.177022,-1.967921,-0.189433,-0.346538
hpi_growth_yoy,8,1.395117,-1.646509,-1.034704,-0.705753,-2.768258,10.556586,-1.357296,-1.176732,1.002105,-2.227821,-0.291518,-0.351610
hpi_growth_yoy,9,1.390362,-1.441098,-0.971151,-0.514288,-1.751131,11.532516,-1.468122,-1.247232,0.761687,-2.400859,-0.407374,-0.343316
hpi_growth_yoy,10,1.313020,-1.199122,-0.873491,-0.301532,-0.784946,12.103664,-1.537550,-1.283020,0.476691,-2.483416,-0.528765,-0.327791
hpi_growth_yoy,11,1.173192,-0.932397,-0.747447,-0.088382,0.094005,12.277578,-1.567767,-1.289968,0.179199,-2.480309,-0.647917,-0.309376
hpi_growth_yoy,12,0.986974,-0.657732,-0.600442,0.104403,0.856088,12.055943,-1.562549,-1.274646,-0.101984,-2.402078,-0.758093,-0.290811
hpi_growth_yoy,13,0.771673,-0.391667,-0.440589,0.261245,1.480807,11.462034,-1.526397,-1.242555,-0.347416,-2.262503,-0.853880,-0.273709
hpi_growth_yoy,14,0.543385,-0.147535,-0.276011,0.373568,1.957326,10.550672,-1.464199,-1.197922,-0.546915,-2.076670,-0.931364,-0.259002
hpi_growth_yoy,15,0.316191,0.065224,-0.114402,0.439221,2.283754,9.401315,-1.381139,-1.144144,-0.696959,-1.859610,-0.988189,-0.247230
hpi_growth_yoy,16,0.101945,0.240620,0.037313,0.460869,2.465966,8.104299,-1.282609,-1.084207,-0.798191,-1.625384,-1.023522,-0.238654
hpi_growth_yoy,17,-0.089905,0.375494,0.173304,0.444310,2.516359,6.748328,-1.174047,-1.020849,-0.853945,-1.386492,-1.037908,-0.233282
hpi_growth_yoy,18,-0.252537,0.469110,0.289115,0.397117,2.452573,5.412454,-1.060693,-0.956509,-0.869519,-1.153507,-1.033036,-0.230877
hpi_growth_yoy,19,-0.381891,0.522919,0.381847,0.327651,2.296078,4.162172,-0.947341,-0.893236,-0.851689,-0.934891,-1.011462,-0.230997
hpi_growth_yoy,20,-0.476594,0.540321,0.450207,0.244320,2.070612,3.048004,-0.838128,-0.832618,-0.808164,-0.736950,-0.976306,-0.233051
unemployment_rate,1,0.706010,0.320481,0.197339,0.558508,0.381375,4.494260,0.002714,0.052524,-0.835246,0.222110,-0.138113,-0.050658
unemployment_rate,2,0.364426,0.576234,0.267741,0.466693,0.608739,4.196304,0.050313,0.146874,-1.033863,0.268487,-0.188705,0.042003
unemployment_rate,3,0.069478,0.648984,0.330095,0.653993,0.786541,4.787877,0.122849,0.176920,-0.957837,0.349771,-0.226522,0.046805
unemployment_rate,4,-0.127600,0.625231,0.355826,0.630975,0.829907,3.584713,0.149962,0.159768,-0.783198,0.424310,-0.226737,0.051825
unemployment_rate,5,-0.238685,0.542462,0.364520,0.529123,0.766274,2.340611,0.182909,0.154731,-0.632062,0.484082,-0.218421,0.050425
unemployment_rate,6,-0.321024,0.453542,0.360326,0.405373,0.657972,1.209337,0.215944,0.159924,-0.519588,0.527883,-0.199285,0.048660
unemployment_rate,7,-0.375743,0.371506,0.345015,0.292831,0.521128,0.401490,0.243907,0.168394,-0.425237,0.554398,-0.171906,0.045090
unemployment_rate,8,-0.403742,0.292310,0.318456,0.194846,0.371067,-0.111696,0.262887,0.173084,-0.333561,0.563159,-0.139317,0.039362
unemployment_rate,9,-0.403677,0.211297,0.281496,0.109066,0.220384,-0.415437,0.271473,0.171569,-0.241382,0.554145,-0.104734,0.032481
unemployment_rate,10,-0.379991,0.128413,0.236550,0.036476,0.082112,-0.564611,0.270269,0.164684,-0.154539,0.528938,-0.071135,0.025554
unemployment_rate,11,-0.340103,0.047844,0.186850,-0.020647,-0.032335,-0.589694,0.260701,0.154391,-0.080541,0.490314,-0.040720,0.019473
unemployment_rate,12,-0.291634,-0.025028,0.135756,-0.060527,-0.115114,-0.508919,0.244498,0.142445,-0.024004,0.441719,-0.014962,0.014661
unemployment_rate,13,-0.240845,-0.085956,0.086261,-0.083224,-0.162609,-0.343866,0.223352,0.129899,0.014387,0.386740,0.005343,0.011236
unemployment_rate,14,-0.192234,-0.132716,0.040775,-0.090590,-0.175091,-0.122625,0.198848,0.117275,0.036651,0.328780,0.019959,0.009172
unemployment_rate,15,-0.148823,-0.164889,0.001092,-0.085604,-0.155801,0.123834,0.172491,0.104886,0.045839,0.270874,0.029103,0.008393
unemployment_rate,16,-0.112528,-0.183236,-0.031595,-0.071609,-0.110006,0.367015,0.145706,0.093045,0.044959,0.215608,0.033340,0.008787
unemployment_rate,17,-0.084407,-0.189169,-0.056657,-0.051787,-0.044196,0.584489,0.119797,0.082105,0.036632,0.165064,0.033470,0.010199
unemployment_rate,18,-0.064772,-0.184460,-0.073994,-0.028908,0.034556,0.760946,0.095881,0.072399,0.023159,0.120794,0.030433,0.012420
unemployment_rate,19,-0.053280,-0.171107,-0.083972,-0.005278,0.119157,0.887561,0.074823,0.064174,0.006640,0.083804,0.025209,0.015203
unemployment_rate,20,-0.049032,-0.151255,-0.087337,0.017245,0.202973,0.960773,0.057211,0.057556,-0.010985,0.054580,0.018745,0.018290
